UID          PID    PPID  C STIME TTY          TIME CMD
sevinch+     807     683  0 Feb01 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
sevinch+     811     683  0 Feb01 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
sevinch+     815     683  0 Feb01 ?        00:00:00 /usr/libexec/goa-daemon
sevinch+     830     683  0 Feb01 ?        00:00:00 /usr/libexec/goa-identity-service
sevinch+     832     683  0 Feb01 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root         838       1  0 Feb01 ?        00:00:01 /usr/lib/upower/upowerd
sevinch+     857     755  0 Feb01 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
sevinch+     950     857  0 Feb01 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
sevinch+     986     683  0 Feb01 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
sevinch+     992     986  0 Feb01 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
sevinch+    1005     683  0 Feb01 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
sevinch+    1012     683  0 Feb01 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sevinch+    1026     683  0 Feb01 ?        00:01:52 /usr/bin/gnome-shell
sevinch+    1063    1026  0 Feb01 ?        00:00:00 ibus-daemon --panel disable --xim
sevinch+    1067    1063  0 Feb01 ?        00:00:00 /usr/libexec/ibus-dconf
sevinch+    1068    1063  0 Feb01 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
sevinch+    1072     683  0 Feb01 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
sevinch+    1075     683  0 Feb01 ?        00:00:00 /usr/libexec/ibus-portal
sevinch+    1086     683  0 Feb01 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sevinch+    1090     683  0 Feb01 ?        00:00:00 /usr/libexec/xdg-permission-store
sevinch+    1095     683  0 Feb01 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
sevinch+    1101     683  0 Feb01 ?        00:00:00 /usr/libexec/evolution-source-registry
sevinch+    1109     683  0 Feb01 ?        00:00:00 /usr/libexec/evolution-calendar-factory
sevinch+    1119     683  0 Feb01 ?        00:00:00 /usr/libexec/dconf-service
sevinch+    1123     683  0 Feb01 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
sevinch+    1154     766  0 Feb01 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
sevinch+    1164     683  0 Feb01 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
sevinch+    1173     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-a11y-settings
sevinch+    1176     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-color
sevinch+    1177     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-datetime
sevinch+    1178     683  0 Feb01 ?        00:00:02 /usr/libexec/gsd-housekeeping
sevinch+    1179     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-keyboard
sevinch+    1184     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-media-keys
sevinch+    1187     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-power
sevinch+    1188     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-print-notifications
sevinch+    1189     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-rfkill
sevinch+    1194     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
sevinch+    1196     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-sharing
sevinch+    1201     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-smartcard
sevinch+    1202     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-sound
sevinch+    1209     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-usb-protection
sevinch+    1212     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-wacom
sevinch+    1217     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-wwan
sevinch+    1222     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-xsettings
sevinch+    1249    1012  0 Feb01 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
sevinch+    1252    1012  0 Feb01 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sevinch+    1267     683  0 Feb01 ?        00:00:00 /usr/libexec/gsd-printer
colord      1268       1  0 Feb01 ?        00:00:00 /usr/libexec/colord
sevinch+    1306     683  0 Feb01 ?        00:00:18 /snap/snap-store/558/usr/bin/snap-store --gapplication-service
sevinch+    1327     683  0 Feb01 ?        00:00:00 /usr/libexec/xdg-document-portal
sevinch+    1350    1063  0 Feb01 ?        00:00:00 /usr/libexec/ibus-engine-simple
sevinch+    1436     683  0 Feb01 ?        00:00:01 /usr/libexec/xdg-desktop-portal
sevinch+    1440     683  0 Feb01 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
sevinch+    1832     683  0 Feb01 ?        00:00:00 /usr/libexec/gvfsd-metadata
sevinch+    1837    1012  0 Feb01 ?        00:00:02 update-notifier
sevinch+    2031     683  0 Feb01 ?        00:00:08 /usr/libexec/gnome-terminal-server
sevinch+    2034     683  0 Feb01 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
sevinch+    2035     683  0 Feb01 ?        00:00:00 /usr/bin/seahorse --gapplication-service
sevinch+    4946     751  0 Feb01 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
sevinch+    5539    2031  0 Feb01 pts/1    00:00:00 bash
systemd+    8856       1  0 Feb02 ?        00:00:00 /lib/systemd/systemd-timesyncd
root        8872       1  0 Feb02 ?        00:00:00 /lib/systemd/systemd-udevd
systemd+    8946       1  0 Feb02 ?        00:00:13 /lib/systemd/systemd-resolved
root       10278       1  0 10:31 ?        00:00:00 /usr/lib/snapd/snapd
root       10449       2  0 11:44 ?        00:00:01 [kworker/0:1-events]
root       10541       2  0 12:31 ?        00:00:00 [kworker/u2:2-events_unbound]
root       10563       2  0 12:40 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root       10564       2  0 12:40 ?        00:00:00 [kworker/u2:1-events_power_efficient]
root       10614       2  0 12:46 ?        00:00:00 [kworker/u2:0]
sevinch+   10615    5539  0 12:47 pts/1    00:00:00 ps -ef
